food,carbs_g,protein_g,fat_g,fiber_g,calories,calories.1,GI,GI_band,GI_source,GI_confidence,GL_per_serving,Veg/Non-veg
Fermented bamboo shoot pickle (Mesu pickle),1.73,1.58,5.59,2.24,59.83,59.83,25.0,Low,Estimated(Nutrient),Low,0.43,Veg
Sweet peach pickle (Aadoo ka achaar),37.01,0.46,0.2,1.32,144.64,144.64,45.0,Low,Estimated(Category),Medium,16.65,Veg
Pickled mustard greens ,1.05,1.51,0.22,1.7,13.12,13.12,25.0,Low,Estimated(Nutrient),Low,0.26,Veg
Small onion pickle ,2.76,1.65,0.64,1.09,16.86,16.86,31.9,Low,Estimated(Nutrient),Low,0.88,Veg
Green tomato pickle (Haray tamatar ka achaar),2.87,1.23,19.67,1.74,193.26,193.26,45.0,Low,Estimated(Category),Medium,1.29,Veg
Pickled cabbage ,2.56,0.39,0.14,0.61,13.69,13.69,35.0,Low,Estimated(Category),Medium,0.9,Veg
Coconut pickle (Nariyal ka aachar),11.53,3.02,51.71,6.35,517.26,517.26,25.0,Low,Estimated(Nutrient),Low,2.88,Veg
Potato pickle (Aloo ka achaar),7.87,2.07,36.46,2.21,369.14,369.14,80.0,High,Estimated(Category),Medium,6.3,Veg
Mango murabba candy,77.32,0.27,0.05,0.95,293.35,293.35,45.0,Low,Estimated(Category),Medium,34.79,Veg
Afghani chicken,1.95,15.66,9.07,0.31,151.51,151.51,25.0,Low,Estimated(Nutrient),Low,0.49,Non-Veg
Fish orly,4.27,5.87,58.18,0.33,563.7,563.7,25.0,Low,Estimated(Nutrient),Low,1.07,Non-Veg
Hariyali Fish Tikka,2.21,14.01,9.41,0.99,150.24,150.24,25.0,Low,Estimated(Nutrient),Low,0.55,Non-Veg
Chicken manchurian,6.06,9.53,11.96,0.41,142.34,142.34,25.0,Low,Estimated(Nutrient),Low,1.52,Non-Veg
Handi chicken,1.49,12.32,12.46,0.67,166.02,166.02,25.0,Low,Estimated(Nutrient),Low,0.37,Non-Veg
Lemon chicken,0.55,20.2,9.66,0.16,169.79,169.79,45.0,Low,Estimated(Category),Medium,0.25,Non-Veg
Lemon butter fish,0.75,16.38,10.26,0.36,160.25,160.25,45.0,Low,Estimated(Category),Medium,0.34,Non-Veg
Baked eggs in tomato sauce,3.78,4.92,5.22,0.01,80.05,80.05,45.0,Low,Estimated(Category),Medium,1.7,Non-Veg
Egg in a pepper,0.17,12.64,8.68,0.17,128.78,128.78,45.0,Low,Estimated(Category),Medium,0.08,Non-Veg
Spinach mushroom scrambled egg (Palak mushroom bhurji),0.59,13.28,11.51,0.39,158.85,158.85,45.0,Low,Estimated(Category),Medium,0.27,Non-Veg
Corn omelette/omlet,1.57,11.37,12.89,0.02,166.93,166.93,25.0,Low,Estimated(Nutrient),Low,0.39,Veg
Cajun chicken,1.94,12.69,13.99,0.89,184.94,184.94,25.0,Low,Estimated(Nutrient),Low,0.48,Non-Veg
Paaner do pyaza,3.41,4.22,10.87,0.84,127.7,127.7,25.0,Low,Estimated(Nutrient),Low,0.85,Veg
Cabbage manchurian (Pattagobhi manchurian),4.85,0.64,22.48,0.37,224.26,224.26,55.0,Low,Estimated(Category),Medium,2.67,Veg
Gobi 65,3.59,0.56,29.11,0.57,278.29,278.29,25.0,Low,Estimated(Nutrient),Low,0.9,Veg
Paneer lababdar,3.37,3.98,8.46,1.16,105.48,105.48,35.0,Low,Estimated(Category),Medium,1.18,Veg
Roasted cauliflower steak,2.02,2.05,6.7,3.53,78.68,78.68,35.0,Low,Estimated(Category),Medium,0.71,Veg
Sauteed radishes with green beans,6.04,2.41,6.61,3.52,94.32,94.32,45.0,Low,Estimated(Category),Medium,2.72,Veg
Garlic chutney/Poondu chutney (Lahasun ki chutney),20.44,3.34,17.55,5.15,255.51,255.51,25.0,Low,Estimated(Nutrient),Low,5.11,Veg
Schezwan chutney,10.79,3.33,17.72,5.72,205.19,205.19,25.0,Low,Estimated(Nutrient),Low,2.7,Veg
Onion chutney (Pyaaz ki chutney/Vengaya chutney),13.52,2.97,8.38,4.6,143.94,143.94,36.6,Low,Estimated(Nutrient),Low,4.95,Veg
Dates chutney (Khajoor ki chutney),21.69,1.07,1.12,3.41,103.57,103.57,61.0,Medium,Estimated(Nutrient),Low,13.23,Veg
Chicken salad,1.3,15.33,30.26,2.0,338.19,338.19,10.0,Low,Measured,High,0.13,Non-Veg
Chicken salad,1.3,15.33,30.26,2.0,338.19,338.19,0.0,Low,Measured,High,0.0,Non-Veg
Macaroni salad,21.63,5.02,17.78,0.56,262.19,262.19,28.3,Low,Estimated(Nutrient),Low,6.12,Veg
Cabbage raita (Pattagobhi raita),5.25,3.24,5.76,0.93,84.84,84.84,55.0,Low,Estimated(Category),Medium,2.89,Veg
Pomegranate raita (Anaar ka raita),7.15,4.05,3.24,0.6,72.64,72.64,32.4,Low,Estimated(Nutrient),Low,2.32,Veg
Onion raita (Pyaaz ka raita),7.86,4.86,2.43,0.65,71.56,71.56,34.1,Low,Estimated(Nutrient),Low,2.68,Veg
Green chilli raita (Hari mirch ka raita),7.66,5.58,2.92,0.26,77.13,77.13,31.2,Low,Estimated(Nutrient),Low,2.39,Veg
Kale salad,5.01,4.86,15.33,1.36,177.71,177.71,25.0,Low,Estimated(Nutrient),Low,1.25,Veg
Spinach and paneer souffle ,9.64,7.56,13.49,1.07,186.19,186.19,35.0,Low,Estimated(Category),Medium,3.37,Veg
Masala souffle ,8.02,6.38,7.37,1.24,123.51,123.51,25.0,Low,Estimated(Nutrient),Low,2.0,Veg
Chicken and cheese souffle,3.47,9.07,14.74,0.26,182.35,182.35,25.0,Low,Estimated(Nutrient),Low,0.87,Non-Veg
Tamarind chutney (Chintapandu pachadi/Puli chutney),25.07,0.88,0.48,1.65,109.15,109.15,64.0,Medium,Estimated(Nutrient),Low,16.04,Veg
Pav bhaji masala,29.15,9.13,10.96,24.3,230.47,230.47,25.6,Low,Estimated(Nutrient),Low,7.46,Veg
Green chutney,10.01,5.42,1.6,5.84,79.42,79.42,28.9,Low,Estimated(Nutrient),Low,2.89,Veg
Sago khitchdi/khichri (Sabudana khitchdi/khichri),22.41,2.72,10.1,1.82,187.16,187.16,38.3,Low,Estimated(Nutrient),Low,8.58,Veg
Gram flour chilla/cheela (Besan chilla/cheela),21.03,7.8,2.85,4.25,135.93,135.93,30.0,Low,Estimated(Category),Medium,6.31,Veg
Vegetable namkeen jave,18.98,2.93,2.51,2.86,112.23,112.23,35.0,Low,Estimated(Category),Medium,6.64,Veg
Khakhra,27.66,4.78,5.32,5.43,178.5,178.5,40.0,Low,Estimated(Nutrient),Low,11.06,Veg
Moong bean dosa (Pesarattu),31.91,12.32,11.67,6.04,285.96,285.96,75.0,High,Estimated(Category),Medium,23.93,Veg
Methi thepla,41.34,8.98,15.95,7.56,346.16,346.16,45.0,Low,Measured,High,18.6,Veg
Rice puttu (Ari puttu),11.82,1.26,3.13,0.76,81.98,81.98,75.0,High,Estimated(Category),Medium,8.86,Veg
Buckwheat pancake (Khura),27.28,2.91,16.43,0.56,263.3,263.3,35.1,Low,Estimated(Nutrient),Low,9.58,Veg
Quinoa khichdi/khichri,8.83,3.18,1.59,2.58,64.01,64.01,45.0,Low,Estimated(Category),Medium,3.97,Veg
Khakhra chaat,16.64,4.52,30.65,3.04,358.66,358.66,25.0,Low,Estimated(Nutrient),Low,4.16,Veg
Banana appam,20.06,1.17,42.53,0.67,469.81,469.81,63.0,Medium,Estimated(Category),Medium,12.64,Veg
Veg manchurian,6.82,0.89,61.65,1.16,585.64,585.64,25.0,Low,Estimated(Nutrient),Low,1.7,Veg
Pav bhaji,11.99,2.66,4.32,1.98,96.53,96.53,65.0,Medium,Measured,High,7.79,Veg
Pav bhaji,11.99,2.66,4.32,1.98,96.53,96.53,70.0,High,Measured,High,8.39,Veg
Pav bhaji,11.99,2.66,4.32,1.98,96.53,96.53,55.0,Low,Measured,High,6.59,Veg
Rice murukku,33.29,5.41,48.22,2.18,593.99,593.99,75.0,High,Estimated(Category),Medium,24.97,Veg
Bhel puri ,16.47,3.52,47.91,2.24,509.89,509.89,55.0,Low,Estimated(Category),Medium,9.06,Veg
Semolina dhokla (Suji/Rava dhokla),30.86,5.44,5.2,5.12,194.91,194.91,40.8,Low,Estimated(Nutrient),Low,12.59,Veg
Spicy corn chaat ,11.45,4.61,46.55,2.17,479.8,479.8,25.0,Low,Estimated(Nutrient),Low,2.86,Veg
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),24.0,2.34,54.41,1.5,597.79,597.79,45.0,Low,Estimated(Category),Medium,10.8,Veg
Banana chips (Kele ke chips),7.32,0.37,70.46,0.65,665.67,665.67,63.0,Medium,Estimated(Category),Medium,4.61,Veg
Wheat cake,41.13,4.79,14.95,2.76,314.63,314.63,41.5,Low,Estimated(Nutrient),Low,17.07,Veg
Mango cheesecake,20.06,2.39,7.3,1.14,152.46,152.46,45.0,Low,Estimated(Category),Medium,9.03,Veg
Carrot cake (Gajar ka cake),35.98,5.6,10.27,2.93,255.59,255.59,45.0,Low,Estimated(Category),Medium,16.19,Veg
Semolina cake (Suji/Rava cake),31.32,6.58,25.18,5.37,374.14,374.14,25.0,Low,Estimated(Nutrient),Low,7.83,Veg
Finger millet cake (Ragi cake),38.93,3.96,12.27,2.35,279.46,279.46,43.5,Low,Estimated(Nutrient),Low,16.93,Veg
Honey cake,49.04,3.08,14.7,0.51,333.59,333.59,63.0,Medium,Estimated(Category),Medium,30.9,Veg
Almond cardamom cake (Badam elaichi cake),34.53,7.18,21.36,2.35,356.35,356.35,32.7,Low,Estimated(Nutrient),Low,11.29,Veg
Tutti frutti cake,52.94,4.49,12.68,0.85,347.72,347.72,47.1,Low,Estimated(Nutrient),Low,24.93,Veg
Ham and Bean soup,4.18,10.61,4.15,0.54,96.04,96.04,30.0,Low,Estimated(Category),Medium,1.25,Veg
Whey soup,6.26,3.45,3.34,0.84,68.91,68.91,31.2,Low,Estimated(Nutrient),Low,1.95,Veg
Bottle gourd soup (Ghiya/Lauki soup),1.16,0.45,1.79,0.96,23.05,23.05,25.0,Low,Estimated(Nutrient),Low,0.29,Veg
Baked potato soup,5.85,5.73,11.21,0.3,147.05,147.05,80.0,High,Estimated(Category),Medium,4.68,Veg
Pumpkin soup,2.08,0.47,3.2,1.19,40.05,40.05,25.0,Low,Estimated(Nutrient),Low,0.52,Veg
Sweet corn soup,3.56,0.99,1.63,0.31,32.25,32.25,90.0,High,Estimated(Category),Medium,3.2,Veg
Paneer soup,2.42,3.22,2.8,0.28,47.85,47.85,35.0,Low,Estimated(Category),Medium,0.85,Veg
Curried Cauliflower soup,3.12,6.72,9.77,2.34,37.32,37.32,35.0,Low,Estimated(Category),Medium,1.09,Veg
Millet soup,8.22,11.26,12.57,2.82,55.99,55.99,25.0,Low,Estimated(Nutrient),Low,2.06,Veg
Lemon coriander soup,10.32,2.27,6.26,6.77,108.06,108.06,45.0,Low,Estimated(Category),Medium,4.64,Veg
Garlic soup,6.99,2.38,17.62,1.66,194.86,194.86,25.0,Low,Estimated(Nutrient),Low,1.75,Veg
Dal makhani,7.96,3.32,3.06,2.27,74.04,74.04,30.0,Low,Estimated(Category),Medium,2.39,Veg
Dalma,15.04,4.91,4.58,2.16,118.93,118.93,30.0,Low,Estimated(Category),Medium,4.51,Veg
Split bengal gram dal (Channa dal),9.99,4.15,4.62,3.72,99.67,99.67,30.0,Low,Estimated(Category),Medium,3.0,Veg
Horsegram dal (Kulthi dal) ,8.21,2.91,1.13,1.52,55.65,55.65,30.0,Low,Estimated(Category),Medium,2.46,Veg
Panchmel dal,10.71,4.63,5.36,3.2,111.22,111.22,30.0,Low,Estimated(Category),Medium,3.21,Veg
Dal dhokli,8.55,2.96,2.47,1.86,68.74,68.74,30.0,Low,Estimated(Category),Medium,2.56,Veg
Gujarati handvo ,31.86,8.24,4.8,4.95,207.09,207.09,48.6,Low,Estimated(Nutrient),Low,15.48,Veg
Sev (Omapodi/Karapusa),12.87,5.12,60.08,2.35,609.14,609.14,25.0,Low,Estimated(Nutrient),Low,3.22,Veg
Papdi,12.89,1.83,72.11,0.56,708.96,708.96,25.0,Low,Estimated(Nutrient),Low,3.22,Veg
Jowar dosa,40.53,8.5,10.28,5.56,294.35,294.35,75.0,High,Estimated(Category),Medium,30.4,Veg
Bread roll,16.12,2.85,40.25,1.45,435.46,435.46,25.0,Low,Estimated(Nutrient),Low,4.03,Veg
Soya seekh kebab,10.0,5.4,5.88,2.24,115.05,115.05,31.4,Low,Estimated(Nutrient),Low,3.14,Veg
Classic seasoned black beans,7.66,8.01,8.28,3.51,28.78,28.78,45.0,Low,Estimated(Category),Medium,3.45,Veg
Maa chaane ki dal,43.11,19.8,9.5,13.45,344.67,344.67,30.0,Low,Estimated(Category),Medium,12.93,Veg
Garlic chickpea soup (Lahasun aur chane ka shoraba),13.92,4.45,2.01,2.84,89.53,89.53,45.0,Low,Estimated(Category),Medium,6.26,Veg
White sauce (thin),6.58,3.31,8.41,0.07,115.17,115.17,25.0,Low,Estimated(Nutrient),Low,1.64,Veg
White sauce (medium),7.98,3.36,11.76,0.14,151.27,151.27,25.0,Low,Estimated(Nutrient),Low,2.0,Veg
White sauce (thick),10.24,3.43,17.19,0.24,209.69,209.69,25.0,Low,Estimated(Nutrient),Low,2.56,Veg
Cheese sauce,7.08,7.68,15.12,0.12,194.76,194.76,25.0,Low,Estimated(Nutrient),Low,1.77,Veg
Egg sauce,5.88,5.97,11.08,0.12,146.85,146.85,25.0,Low,Estimated(Nutrient),Low,1.47,Non-Veg
Mushroom sauce,7.31,3.39,10.51,0.47,137.56,137.56,45.0,Low,Estimated(Category),Medium,3.29,Veg
Mustard sauce,8.29,3.98,12.17,0.13,158.58,158.58,25.0,Low,Estimated(Nutrient),Low,2.07,Veg
Brown sauce,5.38,11.92,23.67,1.69,109.18,109.18,25.0,Low,Estimated(Nutrient),Low,1.34,Veg
Classic italian pasta,4.4,0.57,2.45,1.36,42.12,42.12,45.0,Low,Estimated(Category),Medium,1.98,Veg
Pasta spinach sauce,1.76,1.76,7.9,0.86,85.46,85.46,45.0,Low,Estimated(Category),Medium,0.79,Veg
Pasta cheese sauce,9.0,4.33,10.84,0.14,149.26,149.26,45.0,Low,Estimated(Category),Medium,4.05,Veg
Mayonnaise,1.65,1.86,84.52,0.11,774.86,774.86,25.0,Low,Estimated(Nutrient),Low,0.41,Veg
Low calorie quick mayonnaise,4.71,1.41,24.35,0.06,242.89,242.89,25.0,Low,Estimated(Nutrient),Low,1.18,Veg
Thousand island dressing,4.49,1.37,42.87,0.46,407.87,407.87,25.0,Low,Estimated(Nutrient),Low,1.12,Veg
Curd dip,7.95,5.04,3.36,0.1,79.95,79.95,35.0,Low,Estimated(Category),Medium,2.78,Veg
Short crust pastry,44.72,6.11,23.98,1.58,422.1,422.1,36.3,Low,Estimated(Nutrient),Low,16.23,Veg
Choux pastry,16.2,5.55,14.96,0.56,222.37,222.37,25.1,Low,Estimated(Nutrient),Low,4.07,Veg
Flaky pastry,33.61,4.69,31.99,1.25,443.94,443.94,28.0,Low,Estimated(Nutrient),Low,9.41,Veg
Sponge cake ,44.63,9.18,4.74,0.69,253.77,253.77,52.5,Low,Estimated(Nutrient),Low,23.43,Veg
Glace icing,86.31,0.01,0.01,0.0,323.51,323.51,69.2,High,Estimated(Nutrient),Low,59.73,Veg
Royal icing,86.53,1.74,0.02,0.0,332.58,332.58,67.8,Medium,Estimated(Nutrient),Low,58.67,Veg
American frosting,67.48,1.05,0.01,0.0,257.57,257.57,67.9,Medium,Estimated(Nutrient),Low,45.82,Veg
Gum icing,53.19,5.94,0.0,0.0,223.07,223.07,61.9,Medium,Estimated(Nutrient),Low,32.92,Veg
Channa murmura premix,72.59,10.59,3.28,8.21,339.09,339.09,48.1,Low,Estimated(Nutrient),Low,34.92,Veg
Cracked wheat and green gram dal premix (Dalia moong dal premix),64.75,15.89,5.11,11.66,362.16,362.16,30.0,Low,Estimated(Category),Medium,19.42,Veg
Rice flakes and roasted channa ,71.94,10.57,2.94,8.84,333.4,333.4,75.0,High,Estimated(Category),Medium,53.96,Veg
Spinach soup in milk ,3.98,2.89,3.2,0.79,56.72,56.72,45.0,Low,Estimated(Category),Medium,1.79,Veg
Vegetable soup,7.6,2.22,1.55,3.01,55.21,55.21,10.0,Low,Measured,High,0.76,Veg
Mashed banana with milk,14.62,2.51,2.99,0.71,95.43,95.43,63.0,Medium,Estimated(Category),Medium,9.21,Veg
Poha with curd (Poha aur dahi),26.72,6.01,4.65,1.09,173.32,173.32,35.0,Low,Estimated(Category),Medium,9.35,Veg
Potato with curd,12.01,3.19,1.33,1.02,73.18,73.18,80.0,High,Estimated(Category),Medium,9.61,Veg
Sweet wheat porridge (Sweet dalia),23.77,5.11,2.79,2.37,140.66,140.66,30.0,Low,Estimated(Category),Medium,7.13,Veg
Vegetable khichdi/khichri,19.57,5.61,4.53,2.45,143.17,143.17,35.0,Low,Estimated(Category),Medium,6.85,Veg
Moong dal mixture,33.93,4.62,1.0,1.9,158.84,158.84,30.0,Low,Estimated(Category),Medium,10.18,Veg
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),22.35,7.56,5.52,3.74,167.45,167.45,30.0,Low,Estimated(Category),Medium,6.7,Veg
Stewed apple,22.49,0.17,0.37,1.48,91.93,91.93,45.0,Low,Estimated(Category),Medium,10.12,Veg
Lemon squash (Nimbu ka squash),48.88,0.15,0.06,0.0,184.56,184.56,45.0,Low,Estimated(Category),Medium,22.0,Veg
Orange squash (Santre ka squash),50.88,0.22,0.04,0.4,193.26,193.26,45.0,Low,Estimated(Category),Medium,22.9,Veg
Lichi squash,51.96,0.3,0.08,0.41,198.33,198.33,68.2,Medium,Estimated(Nutrient),Low,35.44,Veg
Mango squash (Aam ka squash),50.96,0.17,0.17,0.58,194.66,194.66,45.0,Low,Estimated(Category),Medium,22.93,Veg
Pineapple squash (Ananas ka squash),51.34,0.16,0.05,1.06,195.02,195.02,45.0,Low,Estimated(Category),Medium,23.1,Veg
Lemon and ginger squash (Nimbu aur adrak ka squash),44.06,0.54,0.21,1.07,170.34,170.34,45.0,Low,Estimated(Category),Medium,19.83,Veg
Apple jam (Seb ka murabba),48.56,0.14,0.32,1.29,188.79,188.79,45.0,Low,Estimated(Category),Medium,21.85,Veg
Plum jam (Aloo bukhara jam),46.2,0.31,0.19,1.0,178.89,178.89,67.8,Medium,Estimated(Nutrient),Low,31.32,Veg
Pineapple jam ,38.27,0.32,0.15,2.2,149.18,149.18,45.0,Low,Estimated(Category),Medium,17.22,Veg
Guava jelly (Amrood ki jelly),28.18,1.11,0.25,6.61,115.74,115.74,54.6,Low,Estimated(Nutrient),Low,15.39,Veg
Orange marmalade (Santray ka murabba),25.94,0.66,0.13,1.97,104.17,104.17,45.0,Low,Estimated(Category),Medium,11.67,Veg
Carrot murabba (Gajar ka murabba),45.6,0.32,0.16,1.39,175.24,175.24,45.0,Low,Estimated(Category),Medium,20.52,Veg
Gooseberry marmalade (Amla murabba),32.34,0.14,0.03,0.0,123.16,123.16,67.6,Medium,Estimated(Nutrient),Low,21.86,Veg
Ginger candy (Adrak ki candy),50.38,0.69,0.27,1.67,195.71,195.71,67.4,Medium,Estimated(Nutrient),Low,33.96,Veg
Mango pickle (Aam ka achaar),8.11,1.6,17.89,3.68,192.12,192.12,40.0,Low,Measured,High,3.24,Veg
Mixed vegetable pickle (Sabziyoon ka achaar),7.48,1.9,19.68,2.76,211.2,211.2,35.0,Low,Estimated(Category),Medium,2.62,Veg
Sweet lemon pickle (Neembu ka meetha achaar),16.87,1.22,0.21,2.13,69.54,69.54,45.0,Low,Estimated(Category),Medium,7.59,Veg
Plum chutney (Aloo bukhara ki chutney),44.95,0.47,0.29,1.37,177.11,177.11,67.4,Medium,Estimated(Nutrient),Low,30.3,Veg
Raw mango chutney (Kachhe aam/Kairi ki chutney),49.94,0.51,0.16,2.17,193.13,193.13,45.0,Low,Estimated(Category),Medium,22.47,Veg
Tomato sauce,7.23,0.81,0.27,1.79,34.33,34.33,45.0,Low,Estimated(Category),Medium,3.25,Veg
Tomato puree,3.68,0.75,0.25,1.56,20.62,20.62,45.0,Low,Estimated(Category),Medium,1.66,Veg
Garam masala,26.2,9.89,10.97,35.56,254.21,254.21,25.0,Low,Estimated(Nutrient),Low,6.55,Veg
Chat masala,23.87,8.19,9.91,18.62,222.58,222.58,28.9,Low,Estimated(Nutrient),Low,6.9,Veg
Kashmiri masala,23.16,8.26,31.03,12.12,389.02,389.02,25.0,Low,Estimated(Nutrient),Low,5.79,Veg
Rasam powder (Rasam masala),25.19,12.04,11.8,35.71,267.96,267.96,25.0,Low,Estimated(Nutrient),Low,6.3,Veg
Sambar powder (Sambar masala),23.38,12.5,15.58,34.56,297.46,297.46,40.0,Low,Estimated(Category),Medium,9.35,Veg
Tartare sauce,2.96,1.44,66.12,0.42,610.93,610.93,25.0,Low,Estimated(Nutrient),Low,0.74,Veg
Barbeque sauce,20.46,0.96,4.51,0.69,121.93,121.93,53.2,Low,Estimated(Nutrient),Low,10.88,Veg
Bread sauce,8.69,3.46,7.05,0.56,111.04,111.04,30.1,Low,Estimated(Nutrient),Low,2.62,Veg
Green chilli sauce,7.36,1.25,0.27,1.77,46.06,46.06,52.1,Low,Estimated(Nutrient),Low,3.83,Veg
Home made plain noodles,44.5,6.21,3.56,1.65,238.78,238.78,56.4,Medium,Estimated(Nutrient),Low,25.1,Veg
Dal moong,4.92,2.2,1.62,1.08,43.69,43.69,30.0,Low,Estimated(Category),Medium,1.48,Veg
Cumin seeds baghar (Jeera baghar/tadka),5.22,3.34,78.77,6.01,736.81,736.81,25.0,Low,Estimated(Nutrient),Low,1.3,Veg
Onion tomato baghar (Pyaaz tamatar ka tadka),6.17,1.26,11.98,2.12,137.52,137.52,45.0,Low,Estimated(Category),Medium,2.78,Veg
Mustard seeds baghar (Mustard seed tadka),10.45,4.73,54.3,9.74,552.59,552.59,25.0,Low,Estimated(Nutrient),Low,2.61,Veg
Hot cherry sauce,67.95,0.13,0.07,0.0,252.74,252.74,68.8,Medium,Estimated(Nutrient),Low,46.75,Veg
Apple jelly (Seb ki jelly),39.37,0.1,0.21,0.86,152.13,152.13,45.0,Low,Estimated(Category),Medium,17.72,Veg
Marmalade (Murabba),37.64,0.23,0.04,0.43,143.76,143.76,67.7,Medium,Estimated(Nutrient),Low,25.48,Veg
Plum squash (Aloo bukhara squash),55.51,0.16,0.1,0.52,211.17,211.17,68.4,Medium,Estimated(Nutrient),Low,37.97,Veg
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),2.14,0.85,0.24,1.07,14.07,14.07,45.0,Low,Estimated(Category),Medium,0.96,Veg
Brinjal pickle (Baingan ka achaar),4.23,2.24,12.98,4.62,139.01,139.01,35.0,Low,Estimated(Category),Medium,1.48,Veg
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),6.55,1.26,3.24,2.2,60.88,60.88,45.0,Low,Estimated(Category),Medium,2.95,Veg
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),6.32,1.98,6.55,5.08,91.21,91.21,45.0,Low,Estimated(Category),Medium,2.84,Veg
Tomato chutney (Tamatar ki chutney),31.85,0.97,6.01,1.49,176.07,176.07,45.0,Low,Estimated(Category),Medium,14.33,Veg
Tomato ketchup,6.48,0.91,0.3,1.9,33.07,33.07,45.0,Low,Estimated(Category),Medium,2.92,Veg
Bengal 5 Spice Blend (Panch Phoran),20.0,18.26,22.16,18.4,289.79,289.79,25.0,Low,Estimated(Nutrient),Low,5.0,Veg
